id,ac_code,sl_no,name_en,name_ta,party_en,party_ta,alliance_ta,symbol_en,photo_name
1,149,1,PUGAZHENDHI D,தே.புகழேந்தி,Naam Tamilar Katchi,நாம் தமிழர் கட்சி,நாம் தமிழர்,Farmer Carrying Plough,149_நாம்_தமிழர்_கட்சி_தே_புகழேந்தி
2,149,2,RAJENDRAN S,தாமரை எஸ்.ராஜேந்திரன்,All India Anna Dravida Munnetra Kazhagam,அ.தி.மு.க,அஇஅதிமுக+,Two leaves,149_அ_தி_மு_க_தாமரை_எஸ்_ராஜேந்திரன்
3,149,3,LATHA BALU,லதா பாலு,Dravida Munnetra Kazhagam,தி.மு.க,திமுக+,Rising sun,149_தி_மு_க_லதா_பாலு
4,149,4,STALIN V,,Bahujan Samaj Party,,,Elephant,
5,149,5,THANGA. SHANMUGA SUNDARAM,,Naadaalum Makkal Katchi,,,Pen nib with seven rays,
6,149,6,SIVAKUMAR M,M. சிவக்குமார்,Tamilaga Vettri Kazhagam,த.வெ.க,த.வெ.க+,Whistle,149_த_வெ_க_M_சிவக்குமார்
7,149,7,SUDHAKAR M,,Tamizhaga Vaazhvurimai Katchi,,,Camera,
8,149,8,RAJKUMAR S,,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,,,Coconut farm,
9,149,9,ELAIYARAJA C,,Independent,,,Tongs,
10,149,10,KRISHNAMOORTHY C,,Independent,,,Ladder,
11,149,11,KUMAR K,,Independent,,,Safety pin,
12,149,12,SEMMALAI T,,Independent,,,Gas cylinder,
13,149,13,RAJKUMAR K,,Independent,,,Electric pole,
14,149,14,VETRIVEL G,,Independent,,,Bench,
15,149,15,JOTHIBASU K,,Independent,,,Diamond,
16,150,1,KANNAN KA.SO.KA.,க.சொ.க. கண்ணன்,Dravida Munnetra Kazhagam,தி.மு.க,திமுக+,Rising sun,150_தி_மு_க_க_சொ_க_கண்ணன்
17,150,2,CHINNADURAI S.,,Bahujan Samaj Party,,,Elephant,
18,150,3,REVATHI K.,ரேவதி கலைமணி,Naam Tamilar Katchi,நாம் தமிழர் கட்சி,நாம் தமிழர்,Farmer Carrying Plough,150_நாம்_தமிழர்_கட்சி_ரேவதி_கலைமணி
19,150,4,AZHAGESAN V.R.,,Desiya Makkal Sakthi Katchi,,,Balloon,
20,150,5,RAVANAN M.,,Naadaalum Makkal Katchi,,,Pen nib with seven rays,
21,150,6,KAVITHA RAJENDRAN G.,கவிதா G. ராஜேந்திரன்,Tamilaga Vettri Kazhagam,த.வெ.க,த.வெ.க+,Whistle,150_த_வெ_க_கவிதா_G_ராஜேந்திரன்
22,150,7,SANKAR M.,,Rashtriya Samaj Dal (R),,,Ring,
23,150,8,PAGUTHARIVALAN A.,,Tamizhaga Vaazhvurimai Katchi,,,Camera,
24,150,9,RAVISANKAR N.,,Aanaithinthiya Jananayaka Pathukappu Kazhagam,,,Gas cylinder,
25,150,10,VAITHILINGAM G.,க. வைத்தி,Pattali Makkal Katchi,பா.ம.க,அஇஅதிமுக+,Mango,150_பா_ம_க_க_வைத்தி
26,150,11,JAYABALAN G.,,Vada Tamil Nadu Munnetra Katchi,,,Water melon,
27,150,12,ANANDHAKUMAR R.,,Independent,,,Jackfruit,
28,150,13,ISAC NEWTAN J.,,Independent,,,Cauliflower,
29,150,14,KANNAN K.,,Independent,,,Road roller,
30,150,15,GURUNATHAN N.,,Independent,,,Bat,
31,150,16,CHANTHIRASEKAR S.,,Independent,,,Capsicum,
32,150,17,VINOTHSAVARIREMIJEAS C.,,Independent,,,Matchbox,
33,150,18,VENKATAJALAPATHI R.,,Independent,,,Stumps,
34,150,19,VEZHAVENTHAN D.,,Independent,,,Bucket,
35,32,1,AMUTHA.N,அமுதா நம்பியார்,Naam Tamilar Katchi,நாம் தமிழர் கட்சி,நாம் தமிழர்,Farmer Carrying Plough,032_நாம்_தமிழர்_கட்சி_அமுதா_நம்பியார்
36,32,2,M.GAJENDRAN,M. கஜா,All India Anna Dravida Munnetra Kazhagam,அ.தி.மு.க,அஇஅதிமுக+,Two leaves,032_அ_தி_மு_க_M_கஜா
37,32,3,KARTHIKDHANDAPANI,எம்.கே.டி. கார்த்திக் தண்டபாணி,Dravida Munnetra Kazhagam,தி.மு.க,திமுக+,Rising sun,032_தி_மு_க_எம்_கே_டி_கார்த்திக்_தண்டபாணி
38,32,4,S. SARAVANAN,,Bahujan Samaj Party,,,Elephant,
39,32,5,S.SELVAM (A) CHELLA,,Tamizhaga Vaazhvurimai Katchi,,,Camera,
40,32,6,S. THIYAGARAJAN,S. தியாகராஜன்,Tamilaga Vettri Kazhagam,த.வெ.க,த.வெ.க+,Whistle,032_த_வெ_க_S_தியாகராஜன்
41,32,7,M.ANANDAN,,Independent,,,Peas,
42,32,8,A.ESAKKIAPPAN,,Independent,,,Ship,
43,32,9,KARTHICK.A,,Independent,,,Air conditioner,
44,32,10,G. CHRISTOPHER,,Independent,,,Electric pole,
45,32,11,S.DELHI BABU,,Independent,,,Bat,
46,32,12,T. PREM BALAJI,,Independent,,,Stapler,
47,32,13,V. RAMAKRISHNAN,,Independent,,,Coconut farm,
48,32,14,C.VIMALRAJ,,Independent,,,Water melon,
49,32,15,P.GEORGE DEVADOSS,,Independent,,,Nail cutter,
50,34,1,SINTHANAI SELVAN,சிந்தனை செல்வன்,Viduthalai Chiruthaigal Katchi,வி.சி.க,திமுக+,Pot,034_வி_சி_க_சிந்தனை_செல்வன்
51,34,2,SWATHILAKSHMI SEKAR,சுவாதி லட்சுமி,Naam Tamilar Katchi,நாம் தமிழர் கட்சி,நாம் தமிழர்,Farmer Carrying Plough,034_நாம்_தமிழர்_கட்சி_சுவாதி_லட்சுமி
