district,ac_code,ac_name,male,female,third_gender,total,polling_stations
ARIYALUR,149,Ariyalur,130194,132732,16,262942,330
ARIYALUR,150,Jayankondam,130371,133067,12,263450,320
CHENGALPATTU,32,Chengalpattu,181069,191713,57,372839,496
CHENGALPATTU,34,Cheyyur,100917,103061,20,203998,287
CHENGALPATTU,35,Madurantakam,104496,108078,65,212639,285
CHENGALPATTU,30,Pallavaram,164338,172601,24,336963,468
CHENGALPATTU,27,Shozhinganallur,270668,283121,116,553905,700
CHENGALPATTU,31,Tambaram,160449,169560,51,330060,465
CHENGALPATTU,33,Thiruporur,143244,151112,54,294410,369
CHENNAI,21,Anna Nagar,90834,97979,48,188861,273
CHENNAI,19,Chepauk-Thiruvallikeni,80438,85526,59,166023,235
CHENNAI,11,Dr.Radhakrishnan Nagar,95250,104013,96,199359,246
CHENNAI,16,Egmore,67542,71176,57,138775,200
CHENNAI,18,Harbour,59771,60298,57,120126,192
CHENNAI,13,Kolathur,101791,109945,36,211772,286
CHENNAI,25,Mylapore,95275,104166,24,199465,272
CHENNAI,12,Perambur,109688,116535,73,226296,298
CHENNAI,17,Royapuram,77211,82385,58,159654,194
CHENNAI,23,Saidapet,98535,105549,62,204146,282
CHENNAI,15,Thiru-Vi-Ka-Nagar,87082,94476,63,181621,223
CHENNAI,24,Thiyagarayanagar,76513,82210,34,158757,251
CHENNAI,20,Thousand Lights,75239,82221,69,157529,247
CHENNAI,26,Velachery,104904,112220,47,217171,314
CHENNAI,14,Villivakkam,78671,84668,33,163372,255
CHENNAI,22,Virugampakkam,96972,103554,52,200578,311
COIMBATORE,118,Coimbatore (North),145849,151061,29,296939,339
COIMBATORE,120,Coimbatore (South),91301,97545,32,188878,283
COIMBATORE,117,Kavundampalayam,205189,216834,115,422138,547
COIMBATORE,122,Kinathukadavu,147068,158774,36,305878,377
COIMBATORE,111,Mettuppalayam,134220,147924,35,282179,360
COIMBATORE,123,Pollachi,96994,106942,35,203971,281
COIMBATORE,121,Singanallur,130529,139388,24,269941,358
COIMBATORE,116,Sulur,147868,159647,101,307616,385
COIMBATORE,119,Thondamuthur,141641,151577,106,293324,371
COIMBATORE,124,Valparai,82100,91487,21,173608,262
CUDDALORE,157,Bhuvanagiri,115772,117468,19,233259,304
CUDDALORE,158,Chidambaram,113561,117645,30,231236,298
CUDDALORE,155,Cuddalore,106187,116882,80,223149,258
CUDDALORE,159,Kattumannarkoil,112479,113844,10,226333,291
CUDDALORE,156,Kurinjipadi,116838,121305,46,238189,278
CUDDALORE,153,Neyveli,95509,95746,16,191271,256
CUDDALORE,154,Panruti,117245,124450,72,241767,309
CUDDALORE,151,Tittakudi,102727,106253,4,208984,279
CUDDALORE,152,Vriddhachalam,119650,121111,22,240783,317
DHARMAPURI,59,Dharmapuri,130664,130003,84,260751,320
DHARMAPURI,61,Harur,122332,123336,24,245692,322
DHARMAPURI,57,Palacode,120881,119420,21,240322,312
DHARMAPURI,60,Pappireddipatti,128301,128325,14,256640,322
DHARMAPURI,58,Pennagaram,127802,120803,9,248614,320
DINDIGUL,129,Athoor,125951,135875,17,261843,341
DINDIGUL,132,Dindigul,116779,125127,20,241926,316
DINDIGUL,131,Natham,128229,132854,69,261152,359
DINDIGUL,130,Nilakkottai,108300,112780,14,221094,305
DINDIGUL,128,Oddanchatram,105633,114603,2,220238,314
DINDIGUL,127,Palani,116862,122883,50,239795,339
DINDIGUL,133,Vedasandur,119153,124618,3,243774,327
ERODE,105,Anthiyur,101094,106234,27,207355,271
ERODE,104,Bhavani,109005,114147,20,223172,306
ERODE,107,Bhavanisagar,114697,122893,23,237613,327
ERODE,98,Erode (East),85804,93724,38,179566,259
ERODE,99,Erode (West),120433,129701,43,250177,325
ERODE,106,Gobichettipalayam,114070,125096,13,239179,309
ERODE,100,Modakkurichi,99241,108411,12,207664,290
ERODE,103,Perundurai,102853,111572,6,214431,292
KALLAKURICHI,80,Kallakurichi,138968,142546,68,281582,370
KALLAKURICHI,78,Rishivandiyam,136637,136883,51,273571,350
KALLAKURICHI,79,Sankarapuram,131507,134400,44,265951,340
KALLAKURICHI,77,Ulundurpettai,150411,150244,44,300699,375
KANCHEEPURAM,28,Alandur,146242,154771,42,301055,431
KANCHEEPURAM,37,Kancheepuram,134909,143829,37,278775,358
KANCHEEPURAM,29,Sriperumbudur,184564,197123,63,381750,435
KANCHEEPURAM,36,Uthiramerur,119559,126556,62,246177,321
KANNIYAKUMARI,231,Colachal,132540,132474,1,265015,316
KANNIYAKUMARI,229,Kanniyakumari,142078,146695,94,288867,363
KANNIYAKUMARI,234,Killiyoor,123798,121546,15,245359,301
KANNIYAKUMARI,230,Nagercoil,126738,132180,10,258928,322
KANNIYAKUMARI,232,Padmanabhapuram,117488,118020,3,235511,312
KANNIYAKUMARI,233,Vilavancode,112612,114043,3,226658,300
KARUR,134,Aravakurichi,93172,102343,2,195517,267
KARUR,135,Karur,108232,121722,41,229995,283
KARUR,136,Krishnarayapuram,98636,104327,31,202994,275
KARUR,137,Kulithalai,108901,114276,7,223184,286
