id,scode,dcode,dcode1,name_en,name_ta,taluk_count,status
3301,33,1,1,Thiruvallur,திருவள்ளுர்,9,
3302,33,2,2,Chennai,சென்னை,5,
3303,33,3,3,Kancheepuram,காஞ்சிபுரம்,5,
3304,33,4,4,Vellore,வேலூர்,6,
3305,33,5,6,Dharmapuri,தர்மபுரி,7,
3306,33,6,7,Tiruvannamalai,திருவண்ணாமலை,12,
3307,33,7,8,Viluppuram,விழுப்புரம்,9,
3308,33,8,9,Salem,சேலம்,13,
3309,33,9,10,Namakkal,நாமக்கல்,7,Backward
3310,33,10,11,Erode,ஈரோடு,10,
3311,33,11,12,The Nilgiris,உதகமண்டலம்,6,
3312,33,12,13,Coimbatore,கோயம்புத்தூர்,11,
3313,33,13,14,Dindigul,திண்டுக்கல்,10,
3314,33,14,15,Karur,கரூர்,7,Backward
3315,33,15,16,Tiruchirappalli,திருச்சிராப்பள்ளி,9,
3316,33,16,17,Perambalur,பெரம்பலூர்,4,Backward
3317,33,17,31,Ariyalur,அரியலூர்,4,Backward
3318,33,18,18,Cuddalore,கடலூர்,10,
3319,33,19,19,Nagapattinam,நாகப்பட்டினம்,4,Backward
3320,33,20,20,Thiruvarur,திருவாரூர்,8,
3321,33,21,21,Thanjavur,தஞ்சாவூர்,9,
3322,33,22,22,Pudukkottai,புதுக்கோட்டை,12,
3323,33,23,23,Sivaganga,சிவகங்கை,9,
3324,33,24,24,Madurai,மதுரை,11,
3325,33,25,25,Theni,தேனி,5,Backward
3326,33,26,26,Virudhunagar,விருதுநகர்,10,
3327,33,27,27,Ramanathapuram,ராமநாதபுரம்,9,
3328,33,28,28,Thoothukkudi,தூத்துக்குடி,10,
3329,33,29,29,Tirunelveli,திருநெல்வேலி,8,
3330,33,30,30,Kanniyakumari,கன்னியாகுமரி,6,
3331,33,31,5,Krishnagiri,கிருஷ்ணகிரி,8,
3332,33,32,32,Tiruppur,திருப்பூர்,9,
3333,33,33,33,Kallakurichi,கள்ளக்குறிச்சி,6,
3334,33,34,34,Tenkasi,தென்காசி,8,
3335,33,35,35,Chengalpattu,செங்கல்பட்டு,8,
3336,33,36,36,Thirupathur,திருப்பத்தூர்,4,
3337,33,37,37,Ranipet,ராணிப்பேட்டை,6,
3338,33,38,38,Mayiladuturai,மயிலாடுதுறை,4,
