sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,total_valid_votes,rejected_votes,total,tendered_votes
0,18,0,0,1,181,9,65,78,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,12,0,0
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,1,0,0,137,5,139,200,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,489,0,6,0
2,18,2,0,0,202,7,83,237,1,0,1,0,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,538,0,7,0
3,18,3,0,1,124,7,168,154,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,457,0,3,0
4,18,4,0,2,78,4,134,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,304,0,5,0
5,18,5,0,3,121,4,193,143,1,0,0,0,0,0,0,0,1,0,4,0,1,0,2,0,0,0,0,473,0,10,0
6,18,6,0,1,171,11,126,268,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,579,0,5,0
7,18,7,0,1,118,12,102,205,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,440,0,3,0
8,18,8,0,0,117,4,85,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,350,0,3,0
9,18,9,0,2,171,3,135,233,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,548,0,6,0
10,18,10,0,2,123,9,117,202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,454,0,3,0
11,18,11,0,1,122,6,224,182,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541,0,3,0
12,18,12,0,0,111,12,136,174,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,437,0,0,0
13,18,13,0,1,118,13,126,168,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,432,0,3,0
14,18,14,0,2,104,3,171,116,3,4,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,410,0,4,0
15,18,15,0,2,115,3,221,136,1,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,485,0,2,0
16,18,16,0,2,83,3,188,99,2,2,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,0,385,0,5,0
17,18,17,0,0,67,2,260,77,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,411,0,7,0
18,18,18,0,2,70,4,158,79,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,317,0,6,0
