sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,total_valid_votes,rejected_votes,total,tendered_votes
0,36,0,0,1268,116,3,1024,1008,1,0,2,22,4,2,27,14,2,29,3493,454,3976,0
1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,1,0,129,13,3,263,139,0,0,0,0,0,5,2,1,0,2,555,0,557,0
2,36,2,0,144,28,1,197,189,2,0,0,0,1,5,5,2,0,3,574,0,577,0
3,36,3,0,163,7,2,229,304,1,1,0,1,0,0,0,0,1,3,709,0,712,0
4,36,4,0,182,29,0,150,272,1,1,0,0,0,0,1,1,1,2,638,0,640,0
5,36,5,0,313,21,0,151,437,2,1,1,2,0,2,2,2,0,5,934,0,939,0
6,36,6,0,228,23,0,136,326,0,1,0,0,0,0,2,1,1,4,718,0,722,0
7,36,7,0,240,16,2,107,259,1,1,0,0,1,0,0,0,1,6,628,0,634,0
8,36,8,0,171,12,0,74,179,1,0,0,0,0,1,0,0,1,2,439,0,441,0
9,36,9,0,200,5,0,264,192,0,0,0,0,0,1,2,0,0,3,664,0,667,0
10,36,10,0,232,20,1,111,276,0,0,0,0,0,0,0,0,0,0,640,0,640,0
11,36,11,0,210,21,1,133,409,0,0,0,0,1,1,1,1,1,2,779,0,781,0
12,36,12,0,192,27,0,164,376,0,0,1,0,0,0,0,0,0,6,760,0,766,0
13,36,13,0,195,16,0,135,308,0,0,0,0,0,1,0,1,0,1,656,0,657,0
14,36,14,0,221,45,1,177,380,0,2,0,1,0,0,0,0,0,7,827,0,834,0
15,36,15,0,161,15,0,60,306,0,2,0,1,0,0,0,0,1,2,546,0,548,0
16,36,16,0,217,17,2,100,362,0,0,1,1,0,0,0,1,0,3,701,0,704,0
17,36,17,0,267,18,1,56,338,0,0,0,2,1,0,3,0,0,2,686,0,688,0
18,36,18,0,206,34,0,170,401,1,0,0,0,0,2,2,0,1,2,817,0,819,0
19,36,19,0,219,32,1,184,408,0,1,0,0,0,2,1,0,0,2,848,0,850,0
20,36,20,0,197,22,3,218,274,0,0,0,0,0,0,0,1,0,1,715,0,716,0
21,36,21,0,154,34,3,114,410,2,0,1,0,1,1,1,1,0,3,722,0,725,0
22,36,22,0,182,24,1,156,464,0,0,0,0,0,2,1,1,2,1,833,0,834,0
