sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,0,total_valid_votes,rejected_votes,total,tendered_votes
0,101,0,0,0,1037,852,90,339,2,4,5,1,0,21,2330,157,2508,0
1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101,1,0,1,146,363,17,130,1,2,1,1,3,4,664,0,668,0
2,101,2,0,2,133,244,10,80,1,0,0,0,1,4,469,0,473,0
3,101,3,0,3,112,326,19,135,0,0,0,1,2,1,595,0,596,0
4,101,4,0,4,139,358,15,173,1,3,0,1,2,2,692,0,694,0
5,101,5,0,5,154,395,14,147,0,0,1,0,0,5,711,0,716,0
6,101,6,0,6,207,339,14,185,1,0,0,0,2,4,748,0,752,0
7,101,7,0,7,144,435,16,111,0,1,1,0,1,6,709,0,715,0
8,101,8,0,8,134,224,10,96,0,0,0,3,0,8,467,0,475,0
9,101,9,0,9,136,242,12,81,0,0,0,0,0,2,471,0,473,0
10,101,10,0,10,171,213,14,127,1,1,2,1,0,4,530,0,534,0
11,101,11,0,11,216,233,19,169,0,0,0,1,1,2,639,0,641,0
12,101,12,0,12,245,343,15,129,0,0,2,0,0,5,734,0,739,0
13,101,13,0,13,167,326,15,57,0,1,0,0,0,0,566,0,566,0
14,101,14,0,14,87,232,9,97,1,0,0,0,3,4,429,0,433,0
15,101,15,0,15,163,305,15,98,0,0,1,0,0,3,582,0,585,0
16,101,16,0,16,137,526,24,87,0,0,0,1,1,3,776,0,779,0
17,101,17,0,17,155,256,10,184,0,1,0,1,1,3,608,0,611,0
18,101,18,0,18,135,285,8,120,0,0,0,0,1,0,549,0,549,0
19,101,19,0,19,206,262,14,122,0,0,0,0,1,1,605,0,606,0
20,101,20,0,20,175,199,22,115,0,0,0,0,1,3,512,0,515,0
21,101,21,0,21,139,250,10,112,1,0,0,0,3,1,515,0,516,0
22,101,22,0,22,241,351,27,153,0,0,1,1,1,4,775,0,779,0
23,101,23,0,23,147,254,16,124,1,0,0,1,1,4,544,0,548,0
24,101,24,0,24,130,161,14,134,0,1,1,1,0,5,442,0,447,0
25,101,25,0,25,249,279,19,96,1,0,1,0,2,7,647,0,654,0
26,101,26,0,26,214,221,9,103,0,0,1,1,7,4,556,0,560,0
27,101,27,0,27,154,343,18,93,1,0,0,1,1,4,611,0,615,0
