sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,total_valid_votes,rejected_votes,total,tendered_votes
0,106,0,0,127,1059,572,2,984,29,0,2,1,0,1,2,3,3,6,1,1,2,23,2795,261,3079,0
1,106,1,0,16,306,185,3,374,2,1,0,0,1,0,4,3,1,5,1,1,4,5,907,0,912,0
1,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,106,2,0,17,221,135,1,245,1,1,0,0,1,0,0,0,0,0,0,1,0,2,623,0,625,0
3,106,3,0,28,366,91,4,460,2,1,0,0,1,0,3,0,3,5,1,0,5,2,970,0,972,0
4,106,4,0,19,224,162,5,277,3,0,0,0,0,1,1,0,3,1,1,1,1,5,699,0,704,0
5,106,5,0,29,203,275,4,349,1,2,0,1,0,0,0,0,0,1,3,0,2,3,870,0,873,0
6,106,6,0,35,223,157,1,360,4,2,0,0,3,4,2,1,2,2,6,1,0,4,803,0,807,0
7,106,7,0,13,142,85,5,188,1,0,0,0,0,0,0,0,0,2,0,0,2,0,438,0,438,0
8,106,8,0,35,192,158,1,283,3,0,0,0,0,1,2,0,1,1,2,0,0,0,679,0,679,0
9,106,9,0,18,182,145,5,264,3,0,0,0,2,0,1,1,2,2,0,0,2,2,627,0,629,0
10,106,10,0,11,120,205,2,182,2,0,0,1,0,2,1,0,2,3,0,0,2,4,533,0,537,0
11,106,11,0,10,158,101,1,217,0,0,0,0,0,0,2,1,0,2,1,0,3,1,496,0,497,0
12,106,12,0,20,194,220,5,269,3,1,0,1,0,0,1,1,2,1,0,0,2,3,720,0,723,0
13,106,13,0,18,176,155,2,478,1,0,2,1,0,2,2,1,2,1,2,1,1,2,845,0,847,0
14,106,14,0,12,179,148,4,374,4,1,0,0,1,1,2,0,3,3,2,0,0,2,734,0,736,0
15,106,15,0,15,127,127,2,162,1,0,1,1,0,0,1,0,0,3,1,0,0,2,441,0,443,0
16,106,16,0,17,84,137,4,287,1,0,1,0,0,1,3,0,3,2,1,0,1,2,542,0,544,0
17,106,17,0,17,157,181,4,271,1,0,2,0,0,1,2,0,0,1,2,1,0,2,640,0,642,0
18,106,18,0,32,231,276,0,289,4,0,0,0,2,1,0,1,1,0,0,0,1,1,838,0,839,0
19,106,19,0,9,133,143,2,196,1,0,0,1,1,0,5,0,2,4,0,0,1,1,498,0,499,0
20,106,20,0,19,119,102,4,162,2,2,0,1,0,1,2,0,1,2,2,0,1,1,420,0,421,0
21,106,21,0,8,221,157,3,244,4,1,1,1,1,1,2,0,0,5,1,1,3,6,654,0,660,0
22,106,22,0,28,272,118,4,289,0,1,0,0,0,0,2,0,2,1,0,0,5,5,722,0,727,0
23,106,23,0,11,155,95,2,206,3,1,0,0,0,0,1,1,0,1,0,0,1,2,477,0,479,0
24,106,24,0,16,317,142,6,512,3,0,0,1,1,0,4,2,1,2,1,0,3,4,1011,0,1015,0
25,106,25,0,14,234,171,1,206,0,3,0,0,0,0,0,2,0,3,2,1,2,3,639,0,642,0
26,106,26,0,21,173,163,2,170,0,2,0,0,1,0,0,1,3,3,2,0,4,1,545,0,546,0
27,106,27,0,25,187,184,2,223,0,0,0,0,0,0,2,1,0,1,2,0,0,2,627,0,629,0
28,106,28,0,13,138,115,1,128,0,1,0,0,0,0,0,0,0,0,1,0,0,1,397,0,398,0
29,106,29,0,23,214,168,1,504,4,2,2,1,1,1,2,2,1,3,2,0,4,2,935,0,937,0
30,106,30,0,24,185,134,4,325,5,0,0,0,0,1,0,3,0,5,1,3,4,3,694,0,697,0
31,106,31,0,33,241,215,5,433,2,1,1,0,1,4,5,0,1,5,2,1,0,3,950,0,953,0
32,106,32,0,24,189,209,0,223,1,0,0,0,0,1,0,0,1,0,2,1,0,8,651,0,659,0
33,106,33,0,37,237,184,3,304,4,0,0,0,0,0,1,0,2,5,3,0,1,2,781,0,783,0
34,106,34,0,44,277,152,0,296,2,1,0,0,0,0,1,0,0,2,0,2,1,6,778,0,784,0
35,106,35,0,31,312,224,0,361,0,0,0,0,1,2,1,1,0,2,2,2,4,3,943,0,946,0
36,106,36,0,44,255,260,1,266,0,0,0,1,0,0,0,2,1,4,0,1,2,5,837,0,842,0
37,106,37,0,25,208,287,2,208,1,0,0,0,0,0,0,0,0,1,3,1,4,4,740,0,744,0
38,106,38,0,24,268,318,2,325,0,0,1,0,0,1,0,2,3,3,2,3,1,3,953,0,956,0
39,106,39,0,9,217,142,2,228,0,0,0,0,0,1,1,0,1,3,3,1,2,4,610,0,614,0
40,106,40,0,7,115,116,0,175,2,0,0,0,0,1,2,2,1,3,1,0,1,1,426,0,427,0
41,106,41,0,37,301,254,1,173,0,1,0,0,1,1,0,2,4,4,6,1,3,2,789,0,791,0
42,106,42,0,29,232,285,4,288,2,0,0,1,0,0,2,1,4,0,2,2,2,1,854,0,855,0
43,106,43,0,35,254,132,2,424,1,0,1,1,0,0,2,2,2,0,1,1,3,4,861,0,865,0
44,106,44,0,30,240,186,6,300,3,1,0,1,0,2,2,2,2,3,1,1,2,2,782,0,784,0
45,106,45,0,25,165,206,3,248,1,0,0,0,0,0,1,0,0,1,0,0,2,1,652,0,653,0
46,106,46,0,19,335,134,2,289,9,1,0,0,1,2,5,0,3,4,2,1,2,4,809,0,813,0
47,106,47,0,24,150,205,1,151,5,0,0,2,0,0,0,0,1,0,2,0,2,2,543,0,545,0
48,106,48,0,21,205,163,3,259,5,0,1,1,0,1,3,0,2,1,1,0,0,0,666,0,666,0
49,106,49,0,23,174,156,2,182,7,0,0,1,1,0,2,3,2,2,1,0,0,1,556,0,557,0
50,106,50,0,45,153,169,0,231,1,0,0,0,1,0,1,1,0,1,5,0,0,3,608,0,611,0
51,106,51,0,11,178,123,0,278,0,1,1,0,0,0,1,0,0,2,1,0,2,1,598,0,599,0
52,106,52,0,44,277,204,2,369,4,1,1,0,0,0,2,0,0,2,1,0,2,1,909,0,910,0
53,106,53,0,16,269,114,7,306,2,0,0,3,1,0,1,1,1,2,1,0,1,0,725,0,725,0
54,106,54,0,13,91,169,0,149,0,0,0,0,0,0,0,0,0,1,0,0,1,2,424,0,426,0
55,106,55,0,24,249,186,3,280,3,0,0,1,0,1,1,0,0,1,1,1,3,3,754,0,757,0
56,106,56,0,22,271,109,5,417,2,0,1,0,0,0,4,1,1,0,2,0,3,3,838,0,841,0
57,106,57,0,26,241,161,2,296,12,0,0,0,0,0,0,0,0,0,1,0,2,5,741,0,746,0
58,106,58,0,18,352,102,1,315,2,0,0,0,0,1,0,0,0,0,1,0,5,4,797,0,801,0
59,106,59,0,30,297,170,3,411,3,3,0,0,0,0,1,0,2,0,2,1,4,5,927,0,932,0
60,106,60,0,13,183,124,1,209,9,0,0,0,0,1,1,0,1,0,1,0,0,2,543,0,545,0
61,106,61,0,13,217,83,2,207,27,3,0,0,1,0,0,0,0,1,2,0,0,2,556,0,558,0
62,106,62,0,26,209,77,0,180,87,0,1,0,0,0,1,4,0,2,0,0,2,7,589,0,596,0
63,106,63,0,33,282,138,0,296,67,1,0,0,0,1,1,1,0,1,0,0,2,1,823,0,824,0
64,106,64,0,33,235,163,1,359,0,1,0,0,0,0,1,1,0,0,2,0,1,8,797,0,805,0
65,106,65,0,33,321,124,2,414,1,0,0,1,0,0,1,0,0,0,1,1,2,1,901,0,902,0
66,106,66,0,29,331,162,1,347,0,0,0,1,0,0,0,2,0,0,1,0,0,9,874,0,883,0
67,106,67,0,21,237,84,0,230,0,0,3,0,0,0,1,2,2,0,1,0,3,0,584,0,584,0
68,106,68,0,34,253,150,1,329,0,1,1,1,0,0,2,0,1,0,1,0,0,5,774,0,779,0
69,106,69,0,22,364,109,1,318,0,0,2,0,1,0,1,0,0,0,0,0,0,0,818,0,818,0
70,106,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,106,70,0,26,331,149,2,326,1,0,2,0,0,0,0,0,1,0,0,0,0,2,838,0,840,0
71,106,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,106,71,0,24,282,177,7,414,1,1,1,1,0,1,2,5,0,3,1,1,0,3,921,0,924,0
72,106,72,0,27,261,120,1,322,0,2,0,0,0,0,0,1,0,1,1,0,2,5,738,0,743,0
73,106,73,0,21,188,173,1,285,0,0,0,0,1,0,0,1,0,0,1,1,2,8,674,0,682,0
74,106,74,0,15,221,136,0,235,1,0,2,0,0,0,0,1,1,0,0,0,0,4,612,0,616,0
75,106,75,0,28,266,122,3,340,2,0,1,0,0,0,0,1,0,3,1,2,0,5,769,0,774,0
76,106,76,0,31,233,122,1,280,2,1,0,0,1,1,0,0,0,0,1,0,0,6,673,0,679,0
77,106,77,0,24,170,193,2,281,1,1,1,0,1,1,2,1,0,0,1,0,1,7,680,0,687,0
78,106,78,0,43,243,122,1,304,2,0,0,0,0,0,1,0,0,0,1,1,0,6,718,0,724,0
79,106,79,0,34,274,237,4,350,0,1,0,1,0,0,0,1,1,0,0,0,0,2,903,0,905,0
80,106,80,0,57,267,161,4,367,3,2,0,1,0,1,1,1,2,2,2,0,3,4,874,0,878,0
81,106,81,0,41,190,123,0,321,4,0,3,1,1,0,2,2,0,1,1,0,2,3,692,0,695,0
82,106,82,0,14,334,118,6,519,2,1,1,1,0,1,2,0,2,2,2,0,1,1,1006,0,1007,0
83,106,83,0,20,118,107,1,222,0,0,0,0,0,0,0,1,0,0,1,0,1,1,471,0,472,0
84,106,84,0,16,155,114,2,227,3,1,0,0,0,0,0,0,0,2,1,0,1,2,522,0,524,0
85,106,85,0,21,148,87,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,2,408,0,410,0
86,106,86,0,11,206,77,2,197,4,0,1,0,0,0,1,0,0,1,1,0,2,7,503,0,510,0
87,106,87,0,27,315,98,1,303,0,0,1,0,0,0,2,0,0,1,2,0,0,6,750,0,756,0
88,106,88,0,24,188,99,0,144,0,0,0,0,0,0,0,1,0,0,0,0,0,3,456,0,459,0
89,106,89,0,23,383,117,2,272,1,0,0,0,0,0,0,1,0,1,0,0,1,3,801,0,804,0
90,106,90,0,14,174,58,1,180,0,0,0,1,1,0,0,0,0,0,0,0,0,5,429,0,434,0
91,106,91,0,36,191,156,1,239,6,0,1,0,0,0,1,0,0,0,1,0,0,4,632,0,636,0
92,106,92,0,24,109,111,0,147,3,2,0,0,0,0,1,0,0,0,0,1,0,7,398,0,405,0
93,106,93,0,24,243,141,0,219,6,0,1,0,0,0,0,0,0,0,1,0,0,4,635,0,639,0
94,106,94,0,7,252,72,3,304,1,1,1,0,0,0,0,0,0,0,0,0,1,1,642,0,643,0
95,106,95,0,21,189,89,3,167,0,0,1,0,0,0,0,0,0,1,0,1,1,1,473,0,474,0
96,106,96,0,16,184,148,2,210,2,0,0,0,1,0,0,1,0,1,1,0,0,8,566,0,574,0
97,106,97,0,30,279,141,0,243,2,1,0,0,0,0,0,0,0,0,1,0,0,3,697,0,700,0
98,106,98,0,18,221,111,0,319,0,0,0,0,0,0,0,1,0,0,0,0,0,5,670,0,675,0
99,106,99,0,28,243,119,0,271,0,1,0,0,0,0,0,0,2,0,1,0,0,4,665,0,669,0
