sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,0,total_valid_votes,rejected_votes,total,tendered_votes
0,164,0,0,127,699,5,497,353,2,5,8,1688,113,1809,0
1,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,164,2,0,3,4,5,6,7,8,9,15,13,14,16,17
1,164,1,0,42,354,5,361,220,5,6,1,993,0,994,0
2,164,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,164,2,0,51,307,2,286,151,0,1,0,798,0,798,0
3,164,3,0,32,278,1,180,203,1,2,3,697,0,700,0
4,164,4,0,57,242,2,253,205,1,0,1,760,0,761,0
5,164,5,0,25,155,3,105,125,1,1,0,415,0,415,0
6,164,6,0,48,412,1,231,195,0,1,2,888,0,890,0
7,164,7,0,39,239,1,147,99,1,1,1,527,0,528,0
8,164,8,0,16,206,4,211,150,4,3,0,594,0,594,0
9,164,9,0,27,250,2,240,206,1,3,6,729,0,735,0
10,164,10,0,21,126,1,236,244,1,2,1,631,0,632,0
11,164,11,0,32,213,2,254,175,2,1,3,679,0,682,0
12,164,12,0,19,245,4,213,207,1,2,2,691,0,693,0
12,164,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,164,13,0,0,0,0,0,0,0,0,0,0,0,0,0
13,164,13,0,37,236,6,208,187,2,4,2,680,0,682,0
14,164,14,0,53,230,3,240,160,3,2,5,691,0,696,0
14,164,14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,164,15,0,41,405,3,285,80,3,2,2,819,0,821,0
16,164,16,0,30,219,0,244,172,1,1,1,667,0,668,0
17,164,17,0,37,187,1,248,120,3,1,2,597,0,599,0
18,164,18,0,23,231,2,225,180,2,3,3,666,0,669,0
19,164,19,0,45,187,1,353,123,0,2,6,711,0,717,0
20,164,20,0,29,277,1,264,112,1,1,2,685,0,687,0
21,164,21,0,28,288,1,142,51,1,0,2,511,0,513,0
22,164,22,0,40,344,1,279,184,2,2,2,852,0,854,0
23,164,23,0,32,165,0,250,197,9,1,5,654,0,659,0
24,164,24,0,31,256,0,220,146,1,2,2,656,0,658,0
25,164,25,0,32,195,1,241,171,2,1,4,643,0,647,0
26,164,26,0,38,214,0,246,152,3,2,4,655,0,659,0
27,164,27,0,91,327,0,308,107,3,2,6,838,0,844,0
28,164,28,0,0,0,0,0,0,0,0,0,0,0,0,0
28,164,28,0,41,272,3,340,153,6,3,3,818,0,821,0
29,164,29,0,0,0,0,0,0,0,0,0,0,0,0,0
29,164,29,0,28,203,0,156,118,3,0,1,508,0,509,0
30,164,30,0,0,0,0,0,0,0,0,0,0,0,0,0
30,164,30,0,30,249,2,192,189,5,1,1,668,0,669,0
31,164,31,0,33,311,8,392,154,8,7,5,913,0,918,0
32,164,32,0,24,120,1,196,80,2,3,5,426,0,431,0
33,164,33,0,36,178,1,249,107,1,1,0,573,0,573,0
34,164,34,0,40,363,3,294,107,2,2,2,811,0,813,0
