ac_code,ps_serial_number,ps_code,candidate_serial_number,candidate_votes
170,0,0,1,330
170,0,0,2,644
170,0,0,3,50
170,0,0,4,22
170,0,0,5,4
170,0,0,6,215
170,0,0,7,1
170,0,0,8,0
170,0,0,9,5
170,0,0,10,8
170,0,0,11,2
170,0,0,12,0
170,0,0,13,0
170,0,0,14,1
170,0,0,0,7
170,1,1,1,0
170,1,1,2,0
170,1,1,3,0
170,1,1,4,0
170,1,1,5,0
170,1,1,6,0
170,1,1,7,0
170,1,1,8,0
170,1,1,9,0
170,1,1,10,0
170,1,1,11,0
170,1,1,12,0
170,1,1,13,0
170,1,1,14,0
170,1,1,0,0
170,1,1,1,327
170,1,1,2,231
170,1,1,3,18
170,1,1,4,2
170,1,1,5,0
170,1,1,6,172
170,1,1,7,1
170,1,1,8,0
170,1,1,9,0
170,1,1,10,0
170,1,1,11,1
170,1,1,12,0
170,1,1,13,0
170,1,1,14,5
170,1,1,0,3
170,2,2,1,336
170,2,2,2,178
170,2,2,3,14
170,2,2,4,2
170,2,2,5,0
170,2,2,6,160
170,2,2,7,0
170,2,2,8,0
170,2,2,9,0
170,2,2,10,0
170,2,2,11,0
170,2,2,12,2
170,2,2,13,0
170,2,2,14,3
170,2,2,0,5
170,3,3,1,47
170,3,3,2,298
170,3,3,3,13
170,3,3,4,5
170,3,3,5,0
170,3,3,6,103
170,3,3,7,0
170,3,3,8,0
170,3,3,9,0
170,3,3,10,0
170,3,3,11,1
170,3,3,12,0
170,3,3,13,1
170,3,3,14,3
170,3,3,0,2
170,4,4,1,214
170,4,4,2,275
170,4,4,3,14
170,4,4,4,3
170,4,4,5,0
170,4,4,6,225
170,4,4,7,2
170,4,4,8,0
170,4,4,9,1
170,4,4,10,2
170,4,4,11,1
170,4,4,12,0
170,4,4,13,1
170,4,4,14,3
170,4,4,0,7
170,5,5,1,299
170,5,5,2,196
170,5,5,3,22
170,5,5,4,20
170,5,5,5,3
170,5,5,6,133
170,5,5,7,3
170,5,5,8,0
170,5,5,9,0
170,5,5,10,0
170,5,5,11,1
170,5,5,12,3
170,5,5,13,0
170,5,5,14,4
170,5,5,0,2
170,6,6,1,198
170,6,6,2,209
170,6,6,3,17
170,6,6,4,14
170,6,6,5,0
170,6,6,6,209
170,6,6,7,0
170,6,6,8,0
170,6,6,9,1
170,6,6,10,0
170,6,6,11,0
170,6,6,12,1
170,6,6,13,0
170,6,6,14,1
170,6,6,0,1
170,7,7,1,316
170,7,7,2,208
170,7,7,3,28
170,7,7,4,3
170,7,7,5,0
170,7,7,6,125
170,7,7,7,3
170,7,7,8,1
170,7,7,9,0
170,7,7,10,0
170,7,7,11,1
170,7,7,12,1
170,7,7,13,1
170,7,7,14,1
170,7,7,0,0
170,8,8,1,211
170,8,8,2,175
170,8,8,3,7
170,8,8,4,8
170,8,8,5,0
170,8,8,6,137
170,8,8,7,1
170,8,8,8,0
170,8,8,9,1
170,8,8,10,0
170,8,8,11,0
170,8,8,12,1
170,8,8,13,1
170,8,8,14,2
170,8,8,0,1
170,9,9,1,132
170,9,9,2,197
170,9,9,3,8
170,9,9,4,0
170,9,9,5,1
170,9,9,6,111
170,9,9,7,0
170,9,9,8,0
170,9,9,9,0
170,9,9,10,0
170,9,9,11,0
